OBJECTID,KHETNAME,KHETCODE,SROKCODE,KHUMCODE,KHUMNAME,SROKNAME,Perimet,Area,Ha,headwork,history,health,irripro,pagoda,school,canal,building,FAM19,MAL19,FEM19,FAM17,MAL17,FEM17,vilage_n,settel_h,orchard,crop,paddy_h,urban_h,srok,khum,khet,para,area_1,hect,lat,long,lat1,long1
"1345",Siemreap,"17","1704","170405",Kouk Thlok Kraom,Chi Kraeng,65690.691914,132530411.096000,13253.041110,1.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2993.940000,0.000000,1712.000000,4029.000000,4221.000000,1672.000000,3845.000000,4084.000000,9.000000,450.970000,0.000000,1.290000,6119.440000,49.850000,Chi Kraeng,Kouk Thlok Kraom,Siemreap,65690.692,132530411.096,13253.041,13.141000,104.2670,13.890,103.640
"1346",Battambang,"02","0208","020803",Ta Pon,Sangkae,68211.740578,191208581.065000,19120.858106,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1166.290000,123.000000,4041.000000,9290.000000,9209.000000,3878.000000,8943.000000,9137.000000,5.000000,968.890000,0.000000,0.000000,7093.870000,182.820000,Sangkae,Ta Pon,Battambang,68211.741,191208581.065,19120.858,13.167000,103.3950,13.360,102.870
"1348",Siemreap,"17","1711","171105",Kien Sangkae,Soutr Nikom,29558.023078,35336707.222900,3533.670722,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,987.850000,0.000000,1167.000000,2722.000000,2957.000000,1096.000000,2698.000000,2940.000000,6.000000,336.490000,0.000000,0.000000,1652.350000,5.910000,Soutr Nikom,Kien Sangkae,Siemreap,29558.023,35336707.223,3533.671,13.211000,104.1590,13.890,103.640
"1349",Siemreap,"17","1711","171103",Dan Run,Soutr Nikom,47023.570618,120553350.275000,12055.335027,0.000000,1.000000,0.000000,0.000000,0.000000,3.000000,2112.770000,20.000000,1613.000000,3763.000000,3886.000000,1540.000000,3517.000000,3664.000000,7.000000,263.470000,0.000000,1104.220000,4663.380000,32.950000,Soutr Nikom,Dan Run,Siemreap,47023.571,120553350.275,12055.335,13.185000,104.0860,13.890,103.640
"1350",Battambang,"02","0205","020504",Preaek Luong,Aek Phnum,53481.851720,64051366.746600,6405.136675,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,2527.090000,428.000000,2339.000000,4842.000000,5288.000000,2246.000000,5069.000000,5483.000000,6.000000,325.100000,0.000000,1729.280000,1602.420000,45.150000,Aek Phnum,Preaek Luong,Battambang,53481.852,64051366.747,6405.137,13.208000,103.3190,13.360,102.870
"1352",Siemreap,"17","1710","171007",Chong Knies,Siem Reab,23595.252549,30571282.807800,3057.128281,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,288.000000,1497.000000,3779.000000,3815.000000,1338.000000,3653.000000,3861.000000,7.000000,0.000000,0.000000,0.240000,185.070000,13.550000,Siem Reab,Chong Knies,Siemreap,23595.253,30571282.808,3057.128,13.252000,103.8320,13.890,103.640
"1353",Siemreap,"17","1704","170411",Sangvaeuy,Chi Kraeng,51590.494056,87474304.462500,8747.430446,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,851.000000,2005.000000,1930.000000,888.000000,2204.000000,2136.000000,3.000000,324.230000,0.000000,0.000000,3181.380000,49.810000,Chi Kraeng,Sangvaeuy,Siemreap,51590.494,87474304.463,8747.430,13.184000,104.2380,13.890,103.640
"1355",Battambang,"02","0205","020505",Peam Aek,Aek Phnum,50943.147320,94678525.763000,9467.852576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.780000,7.000000,3038.000000,6847.000000,6984.000000,2955.000000,6718.000000,7096.000000,7.000000,628.120000,0.000000,0.000000,2984.860000,19.650000,Aek Phnum,Peam Aek,Battambang,50943.147,94678525.763,9467.853,13.218000,103.2060,13.360,102.870
"1356",Battambang,"02","0205","020501",Preaek Norint,Aek Phnum,53061.711772,91294384.607200,9129.438461,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,2.090000,217.000000,2634.000000,5762.000000,6098.000000,2546.000000,5392.000000,5987.000000,7.000000,467.360000,0.000000,1885.830000,2429.590000,14.090000,Aek Phnum,Preaek Norint,Battambang,53061.712,91294384.607,9129.438,13.232000,103.2750,13.360,102.870
"1357",Siemreap,"17","1711","171102",Dam Daek,Soutr Nikom,21985.572016,26315100.063000,2631.510006,1.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,3338.000000,8066.000000,7671.000000,3252.000000,7693.000000,8087.000000,12.000000,581.240000,0.000000,0.000000,638.940000,17.780000,Soutr Nikom,Dam Daek,Siemreap,21985.572,26315100.063,2631.510,13.258000,104.1180,13.890,103.640
